,缺失数量,缺失占比
timestamp,0.0,0.0
user_int_feats_1,0.0,0.0
user_int_feats_3,40.0,0.04
user_int_feats_4,40.0,0.04
user_int_feats_15,199.0,0.199
user_int_feats_48,1.0,0.001
user_int_feats_49,6.0,0.006
user_int_feats_50,1.0,0.001
user_int_feats_51,1.0,0.001
user_int_feats_52,1.0,0.001
user_int_feats_53,1.0,0.001
user_int_feats_54,285.0,0.285
user_int_feats_55,9.0,0.009
user_int_feats_56,9.0,0.009
user_int_feats_57,15.0,0.015
user_int_feats_58,191.0,0.191
user_int_feats_59,191.0,0.191
user_int_feats_60,670.0,0.67
user_int_feats_82,206.0,0.206
user_int_feats_86,706.0,0.706
user_int_feats_91,470.0,0.47
user_int_feats_92,451.0,0.451
user_int_feats_93,186.0,0.186
user_int_feats_94,546.0,0.546
user_int_feats_95,366.0,0.366
user_int_feats_96,701.0,0.701
user_int_feats_97,331.0,0.331
user_int_feats_98,111.0,0.111
user_int_feats_99,829.0,0.829
user_int_feats_100,844.0,0.844
user_int_feats_101,920.0,0.92
user_int_feats_102,906.0,0.906
user_int_feats_103,890.0,0.89
user_int_feats_104,410.0,0.41
user_int_feats_105,318.0,0.318
user_int_feats_106,180.0,0.18
user_int_feats_107,366.0,0.366
user_int_feats_108,539.0,0.539
user_int_feats_109,870.0,0.87
user_int_feats_110,6.0,0.006
user_dense_feats_91,470.0,0.47
item_int_feats_5,0.0,0.0
item_int_feats_6,0.0,0.0
item_int_feats_7,0.0,0.0
item_int_feats_8,0.0,0.0
item_int_feats_9,0.0,0.0
item_int_feats_10,0.0,0.0
item_int_feats_11,548.0,0.548
item_int_feats_12,0.0,0.0
item_int_feats_13,0.0,0.0
item_int_feats_16,0.0,0.0
item_int_feats_83,881.0,0.881
item_int_feats_84,881.0,0.881
item_int_feats_85,881.0,0.881
item_int_feats_114,0.0,0.0
item_int_feats_119,4.0,0.004
item_int_feats_81,0.0,0.0
item_int_feats_126,0.0,0.0
time_datetime,0.0,0.0
